Centroid:
0.1, 0.0, 3.0
Covariance matrix:
0.9 0.8 0.1
0.8 0.9 0.3
0.1 0.3 0.4
Distances:
1.	1.4, 2.2, 3.3	--	3.09
2.	-1.1, -0.8, 3.1	--	1.34
3.	0.2, 0.3, 3.3	--	0.50
4.	-1.7, -1.7, 2.7	--	1.94
5.	0.1, -0.3, 2.4	--	0.99
6.	0.8, 0.8, 3.4	--	0.96
7.	-1.1, -1.1, 2.3	--	1.47
8.	-0.2, -0.9, 2.3	--	1.61
9.	1.2, 1.3, 4.0	--	2.01
10.	1.7, 1.4, 3.2	--	1.72
11.	0.0, 0.1, 2.6	--	1.05
12.	1.5, 1.1, 3.0	--	1.60
13.	-0.2, 0.2, 3.5	--	0.94
14.	-0.9, -1.0, 2.4	--	1.26
15.	-0.1, 0.1, 3.9	--	1.81
16.	-1.7, -1.3, 2.8	--	2.13
17.	-0.8, -0.8, 2.6	--	1.10
18.	-0.6, -1.0, 3.1	--	1.90
19.	1.4, 1.3, 3.5	--	1.56
20.	0.1, 0.0, 3.0	--	0.00
