1 . Minimum:	0.2021 -- 1
2 . Minimum:	0.8719 -- 2
3 . Minimum:	0.6607 -- 1
4 . Minimum:	0.7042 -- 1
5 . Minimum:	7.6715 -- 1
6 . Minimum:	2.3355 -- 1
7 . Minimum:	2.1527 -- 2
8 . Minimum:	3.2931 -- 2
9 . Minimum:	1.5824 -- 2
10 . Minimum:	0.0302 -- 1
11 . Minimum:	1.0474 -- 2
12 . Minimum:	3.0097 -- 2
13 . Minimum:	4.1400 -- 2
14 . Minimum:	2.8725 -- 2
15 . Minimum:	2.6709 -- 1
16 . Minimum:	3.4644 -- 1
17 . Minimum:	0.2049 -- 1
18 . Minimum:	27.6199 -- 1
19 . Minimum:	12.4235 -- 1
20 . Minimum:	3.2271 -- 1
